Conversation.json#dialog
测试物品获得|Test Items Acquired
如今他已率军返回陈留休养，暂无其他消息。|Now he has led his troops back to Chenliu for recuperation, and there is no other news yet.
洛阳守军方面，孙坚各部也都拔营启程，已在返回长沙的路上。|As for the Luoyang defenders, Sun Jian's troops also broke camp and set off, and were on their way back to Changsha.
还有一则传闻...|Another rumor...
据说孙坚的部下在洛阳废墟中捡到了五年前便下落不明的传国玉玺，袁绍也因此和孙坚决裂。|It is said that Sun Jian's subordinates found the imperial seal, which had been missing five years ago, in the ruins of Luoyang, and Yuan Shao broke off with Sun Jian because of this.
当年追捕十常侍的时候弄丢的传国玉玺吗...|The Imperial Seal that was lost when the Ten Eunuchs were being hunted down...
继续盯着孙坚军的动向...|Continue to keep an eye on the movements of Sun Jian's army...
大人放心，我等已有人跟随孙坚军返程，若有新动向定会第一时间得知！|Don't worry, sir. Some of us have already followed Sun Jian's army back home. If there are any new developments, we will be the first to know!
孙坚各部已拔营启程，现在应该在返回长沙的路上。|Sun Jian's troops have already broken camp and set off, and should be on their way back to Changsha.
据说孙坚的部下在洛阳废墟中捡到了五年前便下落不明的传国玉玺，袁绍也因此与孙坚决裂...|It is said that Sun Jian's subordinates found the imperial seal that had been missing five years ago in the ruins of Luoyang, and Yuan Shao broke off relations with Sun Jian because of this...
继续盯着孙坚军的动向。|Continue to keep an eye on the movements of Sun Jian’s army.
报！孙坚军传来了新消息！|Report! Sun Jian’s army has new news!
孙坚军行进至江夏时，遭到了刘表的设关阻拦！|When Sun Jian's army marched to Jiangxia, they were blocked by Liu Biao's pass!
刘表可挡得住这江东猛虎？|Can Liu Biao stop this fierce tiger from Jiangdong?
原本江夏兵并未拦住孙坚...|Originally, the Jiangxia soldiers did not stop Sun Jian...
但在刘表的谋士与江夏太守黄祖的引诱下，孙坚将军独自追敌过深，中了敌军埋伏，不幸中箭身亡！|However, under the inducement of Liu Biao's advisers and Jiangxia prefect Huang Zu, General Sun Jian pursued the enemy too deep alone, fell into an enemy ambush, and was unfortunately shot to death!
孙坚那几个儿子下落如何？|What happened to Sun Jian’s sons?
事发之后，在一众江东老将的拥护下，孙坚长子孙策继领了孙坚部队。|After the incident, with the support of a group of veteran generals from Jiangdong, Sun Jian's eldest son Sun Ce took over Sun Jian's troops.
孙策现已带着残存兵马前往了寿春。|Sun Ce has now headed to Shouchun with his remaining troops.
暂时依附袁术吗，明智之举。|Temporarily relying on Yuan Shu? It would be a wise move.
关于洛阳方面...|About Luoyang...
袁绍已从洛阳撤军返回了南皮，并没有什么大动作。|Yuan Shao had withdrawn his troops from Luoyang and returned to Nanpi without taking any major action.
冀州英雄云集...恐怕不会这么快太平下来。|Jizhou is full of heroes...I'm afraid peace won't come back so soon.
探一探冀州诸侯的动向，尽快向我汇报。|Find out the movements of the princes in Jizhou and report to me as soon as possible.
报！！冀州最新动向！|Report!! The latest developments in Jizhou!
袁绍已领兵进入邺城，自封冀州牧！|Yuan Shao has led his troops into Yecheng and proclaimed himself Governor of Jizhou!
什么？！那冀州的韩馥呢？|What?! What about Han Fu from Jizhou?
此人...下落不明。|This person...is missing.
是遗漏了什么吗？为何一夜之间冀州易主了？！|Did I miss something? Why did Jizhou change its owner overnight?!
具体原因未知，据说还是韩馥亲自邀请的袁绍...|The specific reason is unknown, but it is said that Han Fu personally invited Yuan Shao...
韩馥，真是引狼入室啊...|Han Fu, you really let the wolf into the house...
不过幽州也有消息称最近公孙瓒与袁绍书信往来十分密切，不过都是公孙瓒亲启的密信，其中内容无从窥探...|However, there are also reports in Youzhou that Gongsun Zan and Yuan Shao have been exchanging letters very closely recently, but they are all secret letters written by Gongsun Zan himself, and the contents of the letters cannot be seen...
公孙瓒对冀州也垂涎已久，此事定与他脱不了干系。|Gongsun Zan has also coveted Jizhou for a long time, and this matter must be related to him.
撤出洛阳的人手，除颍川与江南外所有的探子都前往冀州。|The troops were withdrawn from Luoyang, and all the spies except those in Yingchuan and Jiangnan were sent to Jizhou.
属下明白！我等定会全力跟进冀州事态！|I understand! We will do our best to follow up on the situation in Jizhou!
报！！冀州最新消息！|Report!! Latest news from Jizhou!
袁绍与公孙瓒已各自发兵，即将在界桥一带相遇！|Yuan Shao and Gongsun Zan have each sent out their troops and are about to meet in the Jie Bridge area!
此事果然蹊跷...|This is indeed strange...
想必是二人想平分冀州，但最后被袁绍钻了空子吧。|Presumably, the two of them wanted to divide Jizhou equally, but Yuan Shao took advantage of them in the end.
当初参与讨董的刘备一行人也在支援公孙瓒的路上！|Liu Bei and his entourage, who had participated in the campaign against Dong Zhuo, were also on their way to support Gongsun Zan!
一山不容二虎，冀州的命运就看此战了。|There is no room for two tigers in one mountain. The fate of Jizhou depends on this battle.
报！！界桥之战胜负已分！|Report! The battle of Jieqiao has been decided!
公孙瓒仰仗人多势众，急于进军，却中了袁绍的埋伏，大败于界桥南！|Gongsun Zan relied on his large numbers and was eager to advance, but he fell into an ambush by Yuan Shao and was defeated south of Jie Bridge!
公孙瓒现已携残兵败将退回右北平！|Gongsun Zan has now retreated to Youbeiping with his remaining troops!
嗯...如此一来...|Well... in this case...
袁绍将坐拥整个冀州，其势力不容小觑...|Yuan Shao will control the entire Ji Province, and his power should not be underestimated...
公孙瓒若如此一蹶不振，恐怕幽州也迟早会落到袁绍手中，要不要做点什么呢...|If Gongsun Zan continues to suffer a setback, Youzhou will probably fall into Yuan Shao's hands sooner or later. Should we do something?
【讨董后续】已结束。|[Follow-up of the discussion on Dong] has ended.
NI，讨贼进展如何？|NI, how is the progress of the fight against the thieves?
一群竖子，表面讨贼，结果却各怀鬼胎，都不愿自己出力。|A bunch of scoundrels, seemingly fighting the enemy, but in fact they each had their own ulterior motives and were unwilling to contribute.
不过没关系，老贼气数已尽，刚刚带着天子与百官落魄西逃。|But it doesn’t matter. The old villain’s luck has run out and he just fled westward with the emperor and all the officials.
快让弟兄们备马，随WO追击董贼！|Brothers, quickly get your horses ready and follow WO to chase after the thief Dong!
前方有一队人马拦路！！|There is a group of people blocking the road ahead!!
来者什么旗号？|What is the banner of the visitor?
吕字旗，恐怕是吕布。|The flag with the word "Lu" on it is probably Lu Bu.
吩咐后方军马，准备突击敌军！|Order the troops in the rear to prepare to attack the enemy!
无妨，咱们先撤！|It doesn’t matter, let’s retreat first!
给我继续追击！|Keep chasing me!
此战蹊跷，若贸然追击，恐怕会中埋伏...|This battle is strange. If we pursue them rashly, we might be ambushed...
SN4CH说的没错。|SN4CH is right.
唉...就差那么一点了。|Alas... just that little bit.
真不知道那帮竖子小儿在想什么，要是有一人带兵随我追击，也不会有如此下场。|I really don't know what those brats were thinking. If one of them had led the troops to chase after them with me, they wouldn't have ended up like this.
全军听令，撤回PLACE4NAME！|All troops, listen up! Retreat to PLACE4NAME!
哈哈哈哈，跑吧跑吧，跑的越远越好。|Hahahaha, run, run, the farther the better.
SN1MING人马撤退百里后...|After SN1MING retreated a hundred miles...
将士们都十分疲惫不堪，不如先在此休整一下，生火做饭吧。|The soldiers are all very tired, so they might as well rest here and make a fire to cook.
要是有一人，哪怕只有一人肯带兵助我追击，怎会落得如此下场。|If there was one person, even just one person, willing to lead troops to help me pursue, how could I have ended up like this.
主公，我们似乎是遭埋伏了！|My lord, we seem to have been ambushed!
忽然听得四面喊杀声起，徐荣伏兵冲出。|Suddenly, shouts of killing were heard from all directions, and Xu Rong's ambush troops rushed out.
曹贼，纳命来！！！！|You thief Cao, accept your death! ! ! !
董太师有令，杀SN1MING者，赏金百两！|Grand Tutor Dong has issued an order that whoever kills SN1MING will be rewarded with a hundred taels of silver!
众将掩护主公！|All the generals will protect the lord!
真是大意了...|How careless...
先逃离此地再说！|Let’s escape from here first!
SN1MING移动到场景高亮处，逃离战场。|SN1MING moved to the highlighted part of the scene and escaped from the battlefield.
再行进一段距离就可逃离此地了...|Just a little further and you can escape from here...
该死...不能...放过曹操...|Damn it...I can't...let Cao Cao go...
终于摆脱SN9MING了...|Finally got rid of SN9MING...
这次我能够侥幸活命，全赖贤弟之力。|I was lucky enough to survive this time, all thanks to your help.
此地不宜久留，咱们还是继续前进吧。|It's not advisable to stay here for long, let's move on.
言之有理。|That makes sense.
都怪WO疏忽，抵达此地时没有发现他们，我这就带人去追！|It’s all WO’s fault for being careless. We didn’t find them when we arrived here. I’ll take people to chase them now!
罢了，恐怕这是诱敌之计，眼下不能再冒险了。|Never mind. I'm afraid this is just a ploy to lure the enemy. I can't take any more risks right now.
WO明白！|WO understand!
今天要不是SN6CH在这里，WO就命丧于此了。|If SN6CH hadn't been here today, WO would have died here.
此地不宜久留，咱们继续前进为好。|It is not advisable to stay here for long, let's move on.
什么？这话从何而来？|What? Where did this come from?
那我问你，建章殿井中捞出的物件在哪里？|Then let me ask you, where are the objects fished out from the well in Jianzhang Palace?
我本来就没有此物，你怎么强言相逼？|I don't have this thing in the first place, why are you forcing me to do so?
还是赶快把玉玺拿出来吧，以免带来祸患。|It is better to take out the imperial seal as soon as possible to avoid any disaster.
我SN11XINGZI若真私藏国宝，将来必然不得善终，定死在刀箭之下！|If I, SN11XINGZI, really secretly kept the national treasure, I would not have a good end in the future and would surely die by swords and arrows!
这下你满意了吧！|Are you satisfied now?
哈哈哈哈哈哈...|Hahahahahahaha…
SN1CH？你怎么回来了，WO听说你兵败而归，正打算派人去接应。|SN1CH? Why are you back? WO heard that you were defeated and was planning to send someone to pick you up.
SN10CH啊，何必再虚心假意。|SN10CH, why bother to be so hypocritical?
我本大义为国除贼，诸公也都仗义而来。|I am here to eliminate the enemy for the sake of justice, and you all are here for the sake of justice.
依照我的想法，咱们各路人马兵精粮足，进可攻、退可守，只要各司其职，便能诛灭董贼，天下马上就能安定。|According to my thinking, our troops are well-trained and well-fed, and we can attack or defend. As long as everyone performs their duties, we can destroy the traitor Dong, and the world will be stable immediately.
然而你们一个个都迟疑不进，各打各的小算盘，大失天下人所望，我感到万分耻辱！万分耻辱！|However, each of you hesitated and each of you made your own plans, which greatly disappointed the people of the world. I feel extremely ashamed! Extremely ashamed!
WO也不奉陪了，告辞。|WO won’t keep you company anymore, bye.
哼...SN11XINGZI...你给我等着。|Humph...SN11XINGZI...just wait for me.
将士们的情况怎么样？|How are the soldiers doing?
只有几人受伤，并无大碍。|Only a few people were injured, but nothing serious.
唉，都怪WO用兵不当，让弟兄们吃了不少苦头，要是WO也有智囊相助就好了。|Alas, it’s all WO’s fault for not using his troops properly, causing the brothers to suffer a lot. It would be great if WO also had a think tank to help.
据说颍川一带多智士，NI不妨派人过去探寻一番。|It is said that there are many wise men in Yingchuan area, you might as well send someone to explore.
好，那这事就交给你办了。|Okay, then I'll leave this matter to you.
你们先退下吧，让我一个人静静。|You guys go away first and leave me alone.
报！荆州一代传来了新消息！孙坚军在返程途中遭刘表阻拦！孙坚追敌过深，惨遭埋伏身亡！其子孙策已带领残存兵马前往了袁术的地盘儿...|Report! New news from Jingzhou! Sun Jian's army was blocked by Liu Biao on the way back! Sun Jian chased the enemy too far and was ambushed and killed! His son Sun Ce has led the remaining troops to Yuan Shu's territory...
嗯...冀州方向可有消息？|Hmm...is there any news from Jizhou?
冀州已被袁绍图取，公孙瓒抗衡失败，损失惨重...|Jizhou has been taken by Yuan Shao, Gongsun Zan failed in his resistance and suffered heavy losses...
好，先下去吧。|Okay, go down first.
望着洛阳的废墟，SN1MING感慨万千。|Looking at the ruins of Luoyang, SN1MING was filled with emotion.
唉，帝星不明，贼臣乱国，万民涂炭，京城一空！|Alas, the emperor’s star is unclear, treacherous ministers are causing chaos in the country, the people are suffering, and the capital is empty!
NI先去带军士们扫除宫殿瓦砾，凡是董贼挖掘的陵寝全部埋好。待妥善完毕后，NI跟我去太庙地基上面搭个草房，用太牢之礼祭祀先皇。|NI, go and lead the soldiers to clear the rubble of the palace and bury all the tombs dug by the thief Dong. After everything is done, NI and I will go to the foundation of the Taimiao to build a thatched house and offer sacrifices to the late emperor with the Tailao ritual.
刚刚有士卒在井中捞起一妇人尸体，虽然日久但其尸身未烂，看着像是宫女样装束。|Just now, a soldier fished out the body of a woman from the well. Although it has been a long time, the body has not decayed and she looks like she was dressed like a palace maid.
尸体的脖颈下带一锦囊，锦囊里面有一只用金锁锁着的朱红小匣，咱们要打开看看吗。|There is a brocade bag under the neck of the corpse, and inside the bag is a small vermilion box locked with a golden lock. Should we open it and take a look?
即刻打开。|Open immediately.
SN1MING命人打开小锁观看，见是一颗玉玺：|SN1MING ordered someone to open the small lock and see that it was a jade seal:
方圆四寸，上镌五龙交纽；下面缺一角，用黄金镶嵌；上面有篆文八字：受命于天，既寿永昌。|It is four inches square and has five intertwined dragons engraved on it. A corner at the bottom is missing and inlaid with gold. There are eight characters in seal script on it: "Received the Mandate from Heaven, Live Long and Prosperous."
此物难道是...|Could this be...
去把SN5MING将军叫来。|Go and call General SN5MING.
NI唤WO何事？|What do you want to call me for?
SN1MING将玉玺递给SN5MING。|SN1MING handed the imperial seal to SN5MING.
这难道是..？！|Could this be..?!
如果WO没看错的话，这应该就是大汉的玉玺。|If WO is not mistaken, this should be the imperial seal of the Han Dynasty.
大汉之玉玺为何会出现在这里？|Why did the Han Dynasty's jade seal appear here?
听说十常侍作乱期间劫持少帝出北邙，回到宫中惟独不见了此宝...|It is said that during the rebellion of the Ten Eunuchs, the young emperor was kidnapped and taken to Beimang. When they returned to the palace, only this treasure was missing...
现上天把玉玺授予主公，主公必有登九五之分，这个地方不宜久留，可速回江东，另图大事。|Now that Heaven has bestowed the Jade Seal upon the lord, the lord will surely ascend to the throne. It is not advisable to stay in this place for long. You should return to Jiangdong as soon as possible and make other plans.
老将军所说正合我意，明天我便去向袁绍托病南归。|What the old general said is exactly what I want. Tomorrow I will go to Yuan Shao on the pretext of illness and return south.
谁知隔墙有耳，在场的一个军校是袁绍老乡，想借此机会向袁绍邀功请赏，就连夜之间偷偷溜出营寨，前去报告了袁绍...|But the walls have ears. One of the military students present was a fellow villager of Yuan Shao. He wanted to take this opportunity to ask Yuan Shao for reward, so he sneaked out of the camp at night and reported to Yuan Shao...
WO最近身体有些小恙，想回归长沙调养，特地来辞别袁公。|WO has been feeling a little unwell recently and wants to return to Changsha to recuperate, so I have come here specially to say goodbye to Mr. Yuan.
哈，小恙？|Huh, a minor ailment?
我早已知你的病根在传国玉玺上。|I have long known that the root of your problem lies in the imperial seal.
这话从何而来？|Where does this come from?
真是闻所未闻，我本就没有此物，你怎么强言相逼？|This is really unheard of. I don't have this thing. Why are you forcing me to do so?
我如果真的得到此宝私自藏匿了，将来不得善终，定死在刀箭之下！|If I really get this treasure and hide it secretly, I will not have a good end in the future and will surely die by swords and arrows!
SN9CH？你怎么回来了，听说你兵败而归，正打算派人去接应。|SN9CH? Why are you back? I heard that you were defeated and was planning to send someone to pick you up.
SN8CH啊，别再虚心假意了。|SN8CH, stop being so hypocritical.
依照我的想法，咱们各路人马兵精粮足，进可攻、退可守，只要各司其职，便能诛灭董贼，天下马上可以安定。|According to my thinking, our troops are well-trained and well-fed, and we can attack or defend. As long as everyone performs their duties, we can destroy the traitor Dong, and the world will be at peace immediately.
你们却都迟疑不进，暗自打自己的小算盘，大失天下人所望，我感到万分耻辱！万分耻辱！|But you all hesitated and kept your own plans to yourself, which greatly disappointed the people of the world. I feel extremely ashamed! Extremely ashamed!
SN1XINGZI...你给我等着。|SN1XINGZI...just wait for me.
讨贼大业未成，将军这是要去哪里？|The mission of defeating the enemy has not yet been accomplished, where is the general going?
我已和SN8CH告别，请二位将军不要为难。|I have said goodbye to SN8CH. Please don't make things difficult for me, Generals.
孙将军，这大汉的玉玺你还没捂热乎吗？|General Sun, haven't you warmed up to the man's jade seal yet?
二位若执意阻拦，就休怪我不留情面了。|If you two insist on stopping me, don't blame me for being ruthless.
废话少说，直接动手吧。|Stop talking nonsense and get started.
WO来助NI一臂之力！|WO is here to lend a helping hand to NI!
孩儿来迟，还望SN1CH赎罪！|The child is late, I hope SN1CH can atone for his sins!
属下来迟，还望SN1CH恕罪！|I am late, I hope SN1CH will forgive me!
哼，来得正好，今日便让你们这些鼠辈见识一下河北庭柱的实力！|Humph, you’ve come just in time. Today, I’ll let you rats see the strength of Hebei Tingzhu!
下手可别太狠咯，抓活的才有用。|Don't be too harsh, it's more useful to catch them alive.
SN10MING、SN11MING获得个人战状态【抓活的】。|SN10MING and SN11MING obtain the individual combat status [Catch Alive].
......（不愧是SN1MING，真是难对付。）|...... (As expected of SN1MING, he is really difficult to deal with.)
怎会...|How could...
得罪了，还请借过。|I'm sorry, but please forgive me.
二位执意要两败俱伤吗？|Are you two determined to both suffer losses?
该死...看来是咱们低估了他..|Damn...it seems we underestimated him...
劝你们以后尽量三思而后行，告辞。|I advise you to think twice before you act in the future. Goodbye.
SN1MING离开后，袁绍大怒，于是写下书信一封，派遣心腹人连夜骑快马送给好友荆州刺史刘表，让刘表在半路上截住孙坚夺回玉玺。|After SN1MING left, Yuan Shao was furious, so he wrote a letter and sent his confidant to deliver it to his good friend Liu Biao, the governor of Jingzhou, on a fast horse overnight, asking Liu Biao to intercept Sun Jian on the way and take back the jade seal.
感谢二位，在下就先告辞了。|Thank you both, I will take my leave now.
刘表接到袁绍书信后，马上命手下蒯越、蔡瑁带兵一万军兵截击孙坚，并亲自前来质问。|After Liu Biao received Yuan Shao's letter, he immediately ordered his subordinates Kuai Yue and Cai Mao to lead 10,000 troops to intercept Sun Jian, and came in person to question him.
刘表率军于前方设阻！已经拦住了水路！|Liu Biao led his army to set up a barrier in front! The waterway has been blocked!
来者不善啊...|The person who comes has bad intentions...
叫将士们做好开战准备，我去和那老东西交涉。|Tell the soldiers to prepare for war. I'm going to negotiate with that old man.
敢问SN12CH为何领兵截我归路？|May I ask why SN12CH led the troops to block my way back?
SN1CH既然为汉室大臣，为何要私自藏匿传国之宝？只要把玉玺留下，自然放尔等通过！|Since SN1CH is a minister of the Han Dynasty, why did he hide the national treasure? As long as you leave the jade seal, you will be allowed to pass!
SN12CH为什么偏偏听信袁绍的谎言，苦苦相逼友好近邻？|Why did SN12CH believe Yuan Shao’s lies and pressure its friendly neighbors?
不交出传国玉玺，是想要造反不成？|If you don't hand over the imperial seal, do you want to rebel?
我孙文台若真有此物，他日定死于刀箭之下！|If I, Sun Wentai, really had this thing, I would surely die by sword and arrow one day!
光发毒誓有何用？让我搜查一下你的随军行李便知！|What's the point of just swearing? Let me search your military luggage and I'll know!
你有什么本事，胆敢如此小看我！|What ability do you have that you dare to look down on me like this!
唉，浪费口舌。|Oh, what a waste of words.
SN12MING示意将领进攻。|SN12MING signaled the general to attack.
放箭！！|Shoot the arrow!!
不可慌张！举盾！御敌！|Don't panic! Raise your shield! Defend against the enemy!
保护主公！！！|Protect the lord!!!
大伙儿情况如何。|How are you guys doing?
唉，当初我们为何不放弃那块玉玺，这东西的好处还没沾到，弟兄就已经死了这么多了！|Alas, why didn’t we give up the imperial seal at the beginning? So many of our brothers have died before we could even get any benefit from it!
有了这块玉玺，咱们才能挺起来腰板说话...扶我起来...|With this jade seal, we can speak with our backs straight... Help me up...
不好！前面还有埋伏！|Oh no! There's an ambush ahead!
眼前出现的是SN12MING的心腹将领SN15MING。|The person who appeared before him was SN15MING, SN12MING’s trusted general.
..这老东西，看来是要跟我拼命啊。|..It seems like this old guy wants to fight me to the death.
还能站起来的跟我一起杀出去，咱们跟他拼了！|Those of you who can still stand up, come with me and fight him!
江东鼠贼！交出玉玺，饶你不死！|Jiangdong thief! Hand over the imperial seal and I will spare your life!
SN15MING人数众多，备箭充足，SN1MING等人在不懈努力下艰难突围...|SN15MING has a large number of people and sufficient arrows. SN1MING and others made great efforts to break through...
爹！！|father!!
策儿...咳...咳咳...|Ce'er...cough...cough...
是爹大意了...速速离开此地...|Dad was careless... Leave this place quickly...
收缩阵型，保护主公！|Contract the formation and protect the lord!
SN1MING醒了过来。|SN1MING woke up.
爹，你终于醒了！|Dad, you finally woke up!
你们...怎么...|You...how...
主公，别说话了，你伤势太重，刚刚给你处理了伤口。|My lord, please stop talking. You are seriously injured. I have just treated your wound.
爹，我已经让SN6CH去找大夫了，我们死守这里等他回来。|Dad, I've asked SN6CH to find a doctor. Let's stay here and wait for him to come back.
混账...兵家大忌都忘了吗！咳咳..|Asshole...Have you forgotten the taboos of military strategy? Ahem...
爹，你伤口很深，动怒会开裂的。|Dad, your wound is very deep, and it will split open if you get angry.
传令下去，立刻收起营帐，继续赶路，再晚点大家都得死在这里..|Pass the order down, pack up the tents immediately and continue on the road, if it’s any later, everyone will die here...
主公...你的伤...|My Lord, your injury...
都听不见吗，你们是想违抗军令吗！！|Can't you hear me? Do you want to disobey military orders? !
明白，WO现在就去安排大伙儿启程。|Got it. WO will arrange for everyone to set off now.
爹...|father...
策儿，等你到了爹这一天，你会明白的..咳...|Ce'er, when you become your father, you will understand...
弟弟妹妹们，就交给你了，还有这玉玺..|Brothers and sisters, I leave it to you, as well as this jade seal...
你拿好这玉玺，日后如果遇到了大麻烦，就用它解决..|Take this jade seal and use it to solve any big trouble you may encounter in the future.
是..WO一定会记住的。|Yes..WO will definitely remember it.
主公，大家都准备好了，随时可以出发。|My lord, everyone is ready and can set off at any time.
策儿...扶我下来，我还得继续指挥大家..|Ce'er...help me down, I still have to continue to command everyone...
SN15MING人数众多，备箭充足，SN1MING等人难以突围，SN1MING不幸中箭倒地...|SN15MING had a large number of people and plenty of arrows, so it was difficult for SN1MING and others to break through. Unfortunately, SN1MING was hit by an arrow and fell to the ground...
是爹..大意了。|It was Dad who was careless.
策儿..扶我下来，我还得继续指挥大家..|Ce'er...help me down, I still have to continue directing everyone...
他们果然追来了..|They really caught up with us..
....保持阵型，我们杀回去！|....Keep in formation, we’re fighting back!
中间那个负伤的就是SN1MING，把他杀了抢走玉玺！别人不用管！|The wounded one in the middle is SN1MING, kill him and take the imperial seal! Don't worry about others!
不要怕人多，保持阵型，继续前进！|Don't be afraid of the crowd, keep your formation and keep moving forward!
尽管众人奋力抵抗，但是仍然难以抵挡SN15MING，最终SN1MING倒在了人群当中..|Although everyone fought hard, they still couldn't stop SN15MING, and finally SN1MING fell in the crowd.
爹！！！|father!!!
愤怒的SN2MING冲向SN1MING，周围的将士连忙阻挡。|The angry SN2MING rushed towards SN1MING, and the surrounding soldiers hurriedly tried to stop him.
放开我，我爹的尸体还在那里！|Let me go, my father's body is still there!
场面一时混乱，众人还是没能拦下SN2MING..|The scene was chaotic for a while, and everyone was unable to stop SN2MING..
你们继续走，我去追回少主！|You guys keep going, I'll go get the young master back!
爹...无论如何我也要把你带回去...|Dad...I will take you back no matter what...
竟然还敢回头，我今天就在这绝了你孙家的后！|You actually dared to look back? I will wipe out your Sun family’s descendants right here today!
SN15MING！休伤我主！|SN15MING! Don't hurt my master!
幸好SN3MING及时赶到，救下了失神的SN2MING，并成功擒获了大意的SN15MING..|Fortunately, SN3MING arrived in time, rescued the distracted SN2MING, and successfully captured the careless SN15MING.
少主，虽然主公不在了，但是眼下我们应该带着大家返回江东，重整旗鼓后再来复仇啊。|Young Master, although our lord is gone, we should now lead everyone back to Jiangdong, regroup and seek revenge.
不行，我爹的尸首肯定还在SN12MING那里，我哪有脸去见江东的父老乡亲。|No, my father's body must still be at SN12MING. How can I have the face to meet the folks in Jiangdong?
少主，既然我们擒获了SN15MING，那为何不找个人把他带回去，用他换回主公的遗体呢。|Young Master, since we have captured SN15MING, why don't we find someone to take him back and exchange him for the lord's body?
好...就这么办吧。|Okay...let's do it.
老实点。|Be honest.
SN12CH，我们两家相邻这么多年，从未有过战事。|SN12CH, our two families have lived next door to each other for so many years and there has never been a war.
如今却因SN8MING的一句话闹成这样，实在没有必要。|It is really unnecessary to make such a fuss now because of a word from SN8MING.
如今家父已亡，SN15MING也被我们所擒，只要NI肯将WO父亲尸首归还，WO就交出SN15MING，从此我们两家井水不犯河水。|Now my father is dead and SN15MING has been captured by us. As long as NI is willing to return the body of WO's father, WO will hand over SN15MING. From now on, our two families will not interfere with each other.
哼，你想的倒是...|Humph, you're thinking...
SN1CH的尸首我已用上好棺木成殓了。你们马上放回黄祖，两家各自罢兵。|I have already buried SN1CH's body in a fine coffin. You should release Huang Zu immediately and both families should stop fighting.
主公，这不妥啊，眼下正是送上门的机会...|My Lord, this is inappropriate. This is the opportunity that has come to you...
唉，我怎能丢下SN15MING不管呢，就这样吧，不要再说了。|Alas, how can I abandon SN15MING? Let it be, no more words.
多谢大人...|Thank you sir...
唉，该如何把事情告诉娘和兄弟姐妹们呢...|Oh, how should I tell my mother and brothers and sisters about this...
少主，孙将军的后事..|Young Master, General Sun's funeral...
NI先去安抚将士们，把我娘和权儿他们叫来就好。|NI, go and appease the soldiers first, and call my mother and Quan'er and the others over.
对了，把我爹的遗体先抬进来吧。|By the way, please bring my father’s body in first.
属下明白..|I understand..
唉...此番损失不小...|Alas...this loss is not small...
爹，有何吩咐...？|Dad, what do you want...?
NI先去安抚将士们，然后去给你娘和兄弟姐妹们报个平安。|NI, go and comfort the soldiers first, and then go and report your safety to your mother and brothers and sisters.
对了，策儿。|By the way, Ce'er.
PLACE2NAME原本就是众矢之的，如今又得罪了荆襄之主，此地不宜久留。|PLACE2NAME was originally the target of public criticism, and now he has offended the lord of Jingxiang. It is not advisable for him to stay here for long.
稍后叫大伙都到正堂来，是时候商讨一下今后的去处了...|I'll ask everyone to come to the main hall later. It's time to discuss where to go from now on...
报！孙坚与袁绍二人关系破裂，孙坚已带领人马拔营南归！|Report! The relationship between Sun Jian and Yuan Shao broke down, and Sun Jian has led his troops back south!
SN1CH...这不像你的作风啊。|SN1CH...That's not like you.
【孙坚南归】已触发。|[Sun Jian Returns to the South] has been triggered.
报！孙坚南归路途遭到荆州刘表伏击，胜负未知！|Report! Sun Jian was ambushed by Liu Biao of Jingzhou on his way back south, and the outcome is unknown!
刘表怎会突然出手...|Why did Liu Biao suddenly take action...
报！孙坚已于江夏阵亡！其长子孙策统领旧部，已投奔袁术！|Report! Sun Jian has been killed in Jiangxia! His eldest son Sun Ce has led his old troops and defected to Yuan Shu!
SN1CH一世英名，怎会落得如此下场...|How could SN1CH, who had a great reputation throughout his life, end up like this...
报！冀州一代最新消息！冀州已被袁绍图取，公孙瓒抗衡失败，损失惨重！|Report! Latest news from Jizhou! Jizhou has been taken by Yuan Shao, Gongsun Zan failed to resist and suffered heavy losses!
NI唤WO来是为何事？|Why did NI summon WO?
图谋冀州的事我还没头绪，又有个步卒跑来告诉我，孙坚在城中捞出了传国玉玺。|I had no idea about the plot to seize Jizhou when another soldier came to tell me that Sun Jian had fished out the imperial seal in the city.
传国玉玺？这SN17MING命还真是好。|The imperial seal? SN17MING is really lucky.
所以才把NI叫来，现在该怎么办。|That's why I called NI here. What should I do now?
孙坚这事好办，他拿到玉玺后，定会急着回江东。|This matter is easy for Sun Jian. After he gets the jade seal, he will surely rush back to Jiangdong.
等他进来告别时，可让SN4MING、SN5MING二位将军侯在门外。|When he comes in to say goodbye, you can ask Generals SN4MING and SN5MING to wait outside the door.
要是他不肯交出玉玺，就在离开营帐时由二位将军强夺。|If he refused to hand over the seal, the two generals would seize it when he left the tent.
还是你想的周到。|You've thought it through.
好，那WO就先去通知二位将军了。|Okay, then WO will go and inform the two generals first.
SN17MING...你要是不给面子，休怪我无情了。|SN17MING...If you don't give me face, don't blame me for being ruthless.
小恙？|Minor ailment?
你的病根恐怕是在传国玉玺上吧。|The root of your problem may be the imperial seal.
SN18CH怎么回来了，听说你兵败而归，正打算派人去接应。|How come SN18CH is back? I heard that you returned defeated and was planning to send someone to pick you up.
SN17CH啊，何必再虚心假意。|SN17CH, why bother to be so hypocritical?
结果你们都迟疑不进，各打各的小算盘，大失天下人所望，我感到万分耻辱！万分耻辱！|As a result, you all hesitated and each made your own plans, which greatly disappointed the people of the world. I feel extremely ashamed! Extremely ashamed!
